StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,ck_ice,ck_weather,ck_rock,ck_fish,nock_ice,nock_rock,nock_weather,nock_fish,attn,gender,gender_3_TEXT,race,race_12_TEXT,age,issues_yn,issues_exp,code
12/7/17 21:50,12/7/17 21:55,0,100,276,1,12/7/17 21:55,R_3fYIdnyVu9kD2Li,,,,,anonymous,EN,3,3,,,,3,,4,1,2,,3,,5,2,,sb78156
12/7/17 21:52,12/7/17 21:55,0,100,200,1,12/7/17 21:55,R_vJiVC8kzEngreut,,,,,anonymous,EN,2,,,3,,1,1,,1,1,,1,,2,2,,3384574
12/7/17 21:50,12/7/17 21:55,0,100,331,1,12/7/17 21:55,R_9oEM2V3tzqGVOUN,,,,,anonymous,EN,,,5,3,3,,4,,1,1,,"1,5",,3,2,,A3G8OON
12/7/17 21:52,12/7/17 21:55,0,100,209,1,12/7/17 21:55,R_BsNH8p8n6IT8mhX,,,,,anonymous,EN,,1,,4,1,1,,,1,1,,1,,4,2,,9806gh#
12/7/17 21:53,12/7/17 21:55,0,100,170,1,12/7/17 21:55,R_AH85lM089iNMY7L,,,,,anonymous,EN,,1,1,,1,,,1,1,1,,1,,2,2,,256gh89
12/7/17 21:50,12/7/17 21:56,0,100,351,1,12/7/17 21:56,R_sF0SjWGYsGLgQKZ,,,,,anonymous,EN,1,,1,,,,1,4,1,1,,1,,5,2,,yYy+1nn
12/7/17 21:50,12/7/17 21:56,0,100,352,1,12/7/17 21:56,R_2V2VTenMWyztUXl,,,,,anonymous,EN,1,3,,,,1,,2,1,1,,5,,3,2,,science
12/7/17 21:50,12/7/17 21:56,0,100,336,1,12/7/17 21:56,R_UyaZWVFZR03MByx,,,,,anonymous,EN,,,1,2,1,,1,,1,2,,1,,4,2,,4221959
12/7/17 21:50,12/7/17 21:56,0,100,366,1,12/7/17 21:56,R_3kpjXUGrADgYdlo,,,,,anonymous,EN,2,,2,,,,2,3,1,1,,10,,2,2,,B07648Z
12/7/17 21:52,12/7/17 21:56,0,100,266,1,12/7/17 21:56,R_UzlHH0O9RsS5Pl7,,,,,anonymous,EN,,,1,1,1,,1,,1,1,,1,,2,2,,g12R3EG
12/7/17 21:53,12/7/17 21:56,0,100,161,1,12/7/17 21:56,R_3n91tMimEfabJpG,,,,,anonymous,EN,,1,,2,1,1,,,1,2,,"1,7,11",,2,2,,5657218
12/7/17 21:53,12/7/17 21:56,0,100,194,1,12/7/17 21:56,R_2AY9brLWX2Q8rAr,,,,,anonymous,EN,,2,1,,1,,,2,1,2,,1,,2,2,,558704A
12/7/17 21:53,12/7/17 21:57,0,100,235,1,12/7/17 21:57,R_2atGt90zXvL33xv,,,,,anonymous,EN,2,1,,,,1,,1,1,1,,1,,3,2,,Cos1mo@
12/7/17 21:50,12/7/17 21:57,0,100,407,1,12/7/17 21:57,R_R2gafbzkSycoTWV,,,,,anonymous,EN,,1,,2,1,1,,,1,2,,1,,3,2,,glw1973
12/7/17 21:50,12/7/17 21:58,0,100,449,1,12/7/17 21:58,R_2TZuf5CYrsngImf,,,,,anonymous,EN,,,3,4,1,,1,,1,1,,1,,4,2,,scisuvy
12/7/17 21:51,12/7/17 21:58,0,100,395,1,12/7/17 21:58,R_vdagvWfKVkrOwoN,,,,,anonymous,EN,5,4,,,,1,,2,1,2,,1,,5,2,,0828dar
12/7/17 21:51,12/7/17 21:58,0,100,446,1,12/7/17 21:58,R_3G3eqW7TmEiBQc7,,,,,anonymous,EN,3,1,,,,2,,1,1,1,,5,,2,2,,Cassidy86
12/7/17 21:52,12/7/17 21:58,0,100,402,1,12/7/17 21:58,R_1mVM8jRimpfTTG6,,,,,anonymous,EN,,,4,1,1,,1,,1,2,,1,,3,2,,camero
12/7/17 21:53,12/7/17 21:59,0,100,350,1,12/7/17 21:59,R_URvpChdR53MP961,,,,,anonymous,EN,1,1,,,,1,,1,1,2,,1,,4,2,,stanf0rd
12/7/17 21:51,12/7/17 21:59,0,100,501,1,12/7/17 21:59,R_12mbtGwyyC3U9sv,,,,,anonymous,EN,,2,3,,4,,,2,1,1,,1,,2,2,,54j8g36
12/7/17 21:53,12/7/17 21:59,0,100,398,1,12/7/17 21:59,R_sjRyU9O0gqMS2pX,,,,,anonymous,EN,1,1,,,,1,,1,1,1,,1,,3,2,,8172635
12/7/17 21:54,12/7/17 21:59,0,100,354,1,12/7/17 21:59,R_1Qcqyk8XrBhPARo,,,,,anonymous,EN,,1,2,,2,,,1,1,1,,1,,4,2,,76hyw99
12/7/17 21:56,12/7/17 22:00,0,100,247,1,12/7/17 22:00,R_2496sMzd17HiFq1,,,,,anonymous,EN,,1,,1,1,1,,,1,2,,1,,4,2,,AugMJ16
12/7/17 21:52,12/7/17 22:01,0,100,549,1,12/7/17 22:01,R_RIkPQ3E7V7ED9cJ,,,,,anonymous,EN,,,1,1,1,,1,,1,1,,9,,6,2,,5675axe
12/7/17 21:52,12/7/17 22:01,0,100,577,1,12/7/17 22:01,R_2sbD0VxzNp2BWh0,,,,,anonymous,EN,1,,1,,,,1,1,1,2,,9,,2,2,,1q!4w@7
12/7/17 21:50,12/7/17 22:01,0,100,688,1,12/7/17 22:01,R_3My87RQ2RIyYyfO,,,,,anonymous,EN,5,,2,,,,4,5,1,1,,9,,2,2,,okaylah
12/7/17 21:59,12/7/17 22:03,0,100,262,1,12/7/17 22:03,R_1N3849WaJYuDwdR,,,,,anonymous,EN,,,3,3,2,,1,,1,2,,5,,3,2,,mz81803
12/7/17 21:51,12/7/17 22:04,0,100,797,1,12/7/17 22:04,R_1gdxFUZBwORGGqU,,,,,anonymous,EN,1,,2,,,,1,2,1,1,,1,,3,2,,suptoots
12/7/17 22:03,12/7/17 22:04,0,100,83,1,12/7/17 22:04,R_2Euuwmdq7b1XHE5,,,,,anonymous,EN,,,4,4,4,,4,,1,1,,1,,1,2,,72DOG92
12/7/17 22:00,12/7/17 22:04,0,100,241,1,12/7/17 22:04,R_2mY0Qg30tFy6oJb,,,,,anonymous,EN,,3,4,,4,,,2,1,2,,1,,3,2,,er3287u
12/7/17 22:04,12/7/17 22:07,0,100,189,1,12/7/17 22:07,R_1rHqWgCcf2Bvtgv,,,,,anonymous,EN,,,3,2,4,,2,,1,1,,1,,2,2,,56mku9f
12/7/17 22:03,12/7/17 22:08,0,100,306,1,12/7/17 22:08,R_1hXshDdHIirldaW,,,,,anonymous,EN,,2,,4,3,2,,,1,1,,1,,2,2,,2930156
12/7/17 22:05,12/7/17 22:09,0,100,228,1,12/7/17 22:09,R_27TFMm2RMcAnYub,,,,,anonymous,EN,,5,5,,5,,,3,1,2,,3,,2,2,,9326835
12/7/17 22:03,12/7/17 22:09,0,100,341,1,12/7/17 22:09,R_SVvC8krzMdFMwsF,,,,,anonymous,EN,2,,1,,,,1,1,1,1,,9,,2,2,,269837A
12/7/17 22:05,12/7/17 22:12,0,100,451,1,12/7/17 22:12,R_1P1KrpKYi27BEWE,,,,,anonymous,EN,1,,,2,,1,1,,1,2,,1,,5,2,,yunho26
12/7/17 22:13,12/7/17 22:14,0,100,72,1,12/7/17 22:14,R_1ieCeJl7t8NjY2j,,,,,anonymous,EN,,1,,2,1,1,,,1,2,,1,,3,2,,6176CLP
12/7/17 21:51,12/7/17 22:16,0,100,1505,1,12/7/17 22:16,R_1ONzdq3NQRwN0OO,,,,,anonymous,EN,,5,3,,6,,,3,1,4,,13,,,2,,9876543
12/7/17 21:55,12/7/17 22:16,0,100,1289,1,12/7/17 22:16,R_3PERcPrYMEHaU5f,,,,,anonymous,EN,1,1,,,,1,,1,1,1,,1,,2,2,,j0ntarg
12/7/17 22:19,12/7/17 22:22,0,100,139,1,12/7/17 22:22,R_Dc0ebNqa86dk1kl,,,,,anonymous,EN,1,,4,,,,1,3,1,1,,1,,3,2,,7913qwe!
12/7/17 22:18,12/7/17 22:22,0,100,198,1,12/7/17 22:22,R_RgVmoT4sXsLNcPL,,,,,anonymous,EN,,5,6,,3,,,3,0,1,,3,,2,1,very miuh,A1BTZRP5VVYGCC
12/7/17 22:15,12/7/17 22:23,0,100,470,1,12/7/17 22:23,R_AiK9W1RPA6uK2Wt,,,,,anonymous,EN,,,4,2,2,,1,,1,1,,3,,2,2,,174935i
12/7/17 22:21,12/7/17 22:26,0,100,309,1,12/7/17 22:26,R_2V29PxHjnFrJpKy,,,,,anonymous,EN,,1,,1,1,1,,,1,1,,1,,2,2,,Wok28ed
12/7/17 22:13,12/7/17 22:27,0,100,835,1,12/7/17 22:27,R_spBoyntQx4l7olj,,,,,anonymous,EN,2,,2,,,,2,2,1,1,,1,,1,2,,622194
12/7/17 22:27,12/7/17 22:31,0,100,246,1,12/7/17 22:31,R_UAtBpik8QSX8X3b,,,,,anonymous,EN,1,,,2,,1,1,,1,1,,1,,2,2,,9035768
12/7/17 22:55,12/7/17 22:57,0,100,104,1,12/7/17 22:57,R_1EWJKelf0e1cze4,,,,,anonymous,EN,,,1,3,1,,1,,1,2,,1,,3,2,,364811a
12/7/17 23:05,12/7/17 23:09,0,100,211,1,12/7/17 23:09,R_32WmmIcALyaAca2,,,,,anonymous,EN,1,,1,,,,1,1,1,1,,7,,2,2,,7821439
12/7/17 22:55,12/7/17 23:13,0,100,1087,1,12/7/17 23:13,R_2rT9Ja8fPAWnzfY,,,,,anonymous,EN,,1,1,,2,,,2,1,1,,1,,2,2,,4214211
12/7/17 22:58,12/7/17 23:14,0,100,971,1,12/7/17 23:14,R_2Vl5XjbyJtyuBYt,,,,,anonymous,EN,1,,1,,,,1,2,1,1,,1,,4,2,,4967669
