StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ck_ice,ck_weather,ck_rock,ck_fish,nock_ice,nock_rock,nock_weather,nock_fish,attn,gender,gender_3_TEXT,race,race_12_TEXT,age,issues_yn,issues_exp,code
12/7/17 21:53,12/7/17 21:56,0,50.5.181.136,100,194,1,12/7/17 21:56,R_2AY9brLWX2Q8rAr,,,,,39.07049561,-84.28029633,anonymous,EN,,2,1,,1,,,2,,2,,1,,2,2,,558704A
12/7/17 21:53,12/7/17 21:57,0,172.56.29.192,100,235,1,12/7/17 21:57,R_2atGt90zXvL33xv,,,,,39.95230103,-75.1638031,anonymous,EN,2,1,,,,1,,1,,1,,1,,3,2,,Cos1mo@
12/7/17 21:50,12/7/17 21:57,0,24.181.90.38,100,407,1,12/7/17 21:57,R_R2gafbzkSycoTWV,,,,,34.44360352,-86.93689728,anonymous,EN,,1,,2,1,1,,,,2,,1,,3,2,,glw1973
12/7/17 21:50,12/7/17 21:58,0,98.19.158.234,100,449,1,12/7/17 21:58,R_2TZuf5CYrsngImf,,,,,34.72509766,-83.51080322,anonymous,EN,,,3,4,1,,1,,,1,,1,,4,2,,scisuvy
12/7/17 21:51,12/7/17 21:58,0,73.129.35.210,100,395,1,12/7/17 21:58,R_vdagvWfKVkrOwoN,,,,,39.4631958,-77.95210266,anonymous,EN,5,4,,,,1,,2,,2,,1,,5,2,,0828dar
12/7/17 21:51,12/7/17 21:58,0,67.48.164.57,100,446,1,12/7/17 21:58,R_3G3eqW7TmEiBQc7,,,,,26.19760132,-97.7405014,anonymous,EN,3,1,,,,2,,1,,1,,5,,2,2,,Cassidy86
12/7/17 21:52,12/7/17 21:58,0,47.40.72.147,100,402,1,12/7/17 21:58,R_1mVM8jRimpfTTG6,,,,,42.28759766,-122.9001007,anonymous,EN,,,4,1,1,,1,,,2,,1,,3,2,,camero
12/7/17 21:53,12/7/17 21:59,0,74.134.112.103,100,350,1,12/7/17 21:59,R_URvpChdR53MP961,,,,,37.17979431,-87.68399811,anonymous,EN,1,1,,,,1,,1,,2,,1,,4,2,,stanf0rd
12/7/17 21:51,12/7/17 21:59,0,107.15.144.116,100,501,1,12/7/17 21:59,R_12mbtGwyyC3U9sv,,,,,35.90220642,-78.62830353,anonymous,EN,,2,3,,4,,,2,,1,,1,,2,2,,54j8g36
12/7/17 21:53,12/7/17 21:59,0,67.143.129.12,100,398,1,12/7/17 21:59,R_sjRyU9O0gqMS2pX,,,,,39.7684021,-86.15799713,anonymous,EN,1,1,,,,1,,1,,1,,1,,3,2,,8172635
12/7/17 21:54,12/7/17 21:59,0,23.127.177.105,100,354,1,12/7/17 21:59,R_1Qcqyk8XrBhPARo,,,,,35.2743988,-82.53359985,anonymous,EN,,1,2,,2,,,1,,1,,1,,4,2,,76hyw99
12/7/17 21:56,12/7/17 22:00,0,23.226.165.8,100,247,1,12/7/17 22:00,R_2496sMzd17HiFq1,,,,,37.4382019,-84.0510025,anonymous,EN,,1,,1,1,1,,,,2,,1,,4,2,,AugMJ16
12/7/17 21:52,12/7/17 22:01,0,174.25.113.93,100,549,1,12/7/17 22:01,R_RIkPQ3E7V7ED9cJ,,,,,45.6446991,-122.6297989,anonymous,EN,,,1,1,1,,1,,,1,,9,,6,2,,5675axe
12/7/17 21:52,12/7/17 22:01,0,96.41.53.236,100,577,1,12/7/17 22:01,R_2sbD0VxzNp2BWh0,,,,,34.66470337,-117.5121002,anonymous,EN,1,,1,,,,1,1,,2,,9,,2,2,,1q!4w@7
12/7/17 21:50,12/7/17 22:01,0,132.205.236.34,100,688,1,12/7/17 22:01,R_3My87RQ2RIyYyfO,,,,,45.50090027,-73.58769989,anonymous,EN,5,,2,,,,4,5,,1,,9,,2,2,,okaylah
12/7/17 21:59,12/7/17 22:03,0,76.168.72.51,100,262,1,12/7/17 22:03,R_1N3849WaJYuDwdR,,,,,33.97349548,-118.2452011,anonymous,EN,,,3,3,2,,1,,,2,,5,,3,2,,mz81803
12/7/17 21:51,12/7/17 22:04,0,99.182.116.20,100,797,1,12/7/17 22:04,R_1gdxFUZBwORGGqU,,,,,39.92320251,-82.87660217,anonymous,EN,1,,2,,,,1,2,,1,,1,,3,2,,suptoots
12/7/17 22:03,12/7/17 22:04,0,24.126.72.15,100,83,1,12/7/17 22:04,R_2Euuwmdq7b1XHE5,,,,,39.05259705,-77.1210022,anonymous,EN,,,4,4,4,,4,,,1,,1,,1,2,,72DOG92
12/7/17 22:00,12/7/17 22:04,0,64.130.184.152,100,241,1,12/7/17 22:04,R_2mY0Qg30tFy6oJb,,,,,37.30529785,-85.91400146,anonymous,EN,,3,4,,4,,,2,,2,,1,,3,2,,er3287u
12/7/17 22:04,12/7/17 22:07,0,107.15.144.116,100,189,1,12/7/17 22:07,R_1rHqWgCcf2Bvtgv,,,,,35.90220642,-78.62830353,anonymous,EN,,,3,2,4,,2,,,1,,1,,2,2,,56mku9f
12/7/17 22:03,12/7/17 22:08,0,104.156.115.18,100,306,1,12/7/17 22:08,R_1hXshDdHIirldaW,,,,,37.48789978,-82.49559784,anonymous,EN,,2,,4,3,2,,,,1,,1,,2,2,,2930156
12/7/17 22:05,12/7/17 22:09,0,64.71.174.83,100,228,1,12/7/17 22:09,R_27TFMm2RMcAnYub,,,,,37.54969788,-121.9620972,anonymous,EN,,5,5,,5,,,3,,2,,3,,2,2,,9326835
12/7/17 22:03,12/7/17 22:09,0,104.174.223.0,100,341,1,12/7/17 22:09,R_SVvC8krzMdFMwsF,,,,,34.07899475,-117.8493958,anonymous,EN,2,,1,,,,1,1,,1,,9,,2,2,,269837A
12/7/17 22:05,12/7/17 22:12,0,108.185.234.87,100,451,1,12/7/17 22:12,R_1P1KrpKYi27BEWE,,,,,34.40649414,-118.4015045,anonymous,EN,1,,,2,,1,1,,,2,,1,,5,2,,yunho26
12/7/17 22:13,12/7/17 22:14,0,67.245.123.15,100,72,1,12/7/17 22:14,R_1ieCeJl7t8NjY2j,,,,,40.75059509,-73.82039642,anonymous,EN,,1,,2,1,1,,,,2,,1,,3,2,,6176CLP
12/7/17 21:51,12/7/17 22:16,0,71.46.192.78,100,1505,1,12/7/17 22:16,R_1ONzdq3NQRwN0OO,,,,,35.12930298,-118.5110016,anonymous,EN,,5,3,,6,,,3,,4,,13,,,2,,9876543
12/7/17 21:55,12/7/17 22:16,0,24.91.57.193,100,1289,1,12/7/17 22:16,R_3PERcPrYMEHaU5f,,,,,42.42469788,-71.11119843,anonymous,EN,1,1,,,,1,,1,,1,,1,,2,2,,j0ntarg
12/7/17 22:19,12/7/17 22:22,0,75.168.159.46,100,139,1,12/7/17 22:22,R_Dc0ebNqa86dk1kl,,,,,45.01010132,-93.15190125,anonymous,EN,1,,4,,,,1,3,,1,,1,,3,2,,7913qwe!
12/7/17 22:18,12/7/17 22:22,0,138.128.246.205,100,198,1,12/7/17 22:22,R_RgVmoT4sXsLNcPL,,,,,40.73910522,-73.98259735,anonymous,EN,,5,6,,3,,,3,0,1,,3,,2,1,very miuh,A1BTZRP5VVYGCC
12/7/17 22:15,12/7/17 22:23,0,50.113.14.197,100,470,1,12/7/17 22:23,R_AiK9W1RPA6uK2Wt,,,,,21.2749939,-157.8164978,anonymous,EN,,,4,2,2,,1,,,1,,3,,2,2,,174935i
12/7/17 22:21,12/7/17 22:26,0,108.32.65.123,100,309,1,12/7/17 22:26,R_2V29PxHjnFrJpKy,,,,,40.460495,-80.28579712,anonymous,EN,,1,,1,1,1,,,,1,,1,,2,2,,Wok28ed
12/7/17 22:13,12/7/17 22:27,0,24.31.136.233,100,835,1,12/7/17 22:27,R_spBoyntQx4l7olj,,,,,44.03359985,-70.75700378,anonymous,EN,2,,2,,,,2,2,,1,,1,,1,2,,622194
12/7/17 22:27,12/7/17 22:31,0,172.58.169.15,100,246,1,12/7/17 22:31,R_UAtBpik8QSX8X3b,,,,,30.3321991,-81.6556015,anonymous,EN,1,,,2,,1,1,,,1,,1,,2,2,,9035768
12/7/17 22:55,12/7/17 22:57,0,174.102.138.182,100,104,1,12/7/17 22:57,R_1EWJKelf0e1cze4,,,,,43.04600525,-88.38890076,anonymous,EN,,,1,3,1,,1,,,2,,1,,3,2,,364811a
12/7/17 23:05,12/7/17 23:09,0,172.112.206.174,100,211,1,12/7/17 23:09,R_32WmmIcALyaAca2,,,,,33.71099854,-118.0438004,anonymous,EN,1,,1,,,,1,1,,1,,7,,2,2,,7821439
12/7/17 22:55,12/7/17 23:13,0,108.248.166.26,100,1087,1,12/7/17 23:13,R_2rT9Ja8fPAWnzfY,,,,,38.74679565,-120.6811981,anonymous,EN,,1,1,,2,,,2,,1,,1,,2,2,,4214211
12/7/17 22:58,12/7/17 23:14,0,110.54.146.68,100,971,1,12/7/17 23:14,R_2Vl5XjbyJtyuBYt,,,,,10.87420654,125.0025024,anonymous,EN,1,,1,,,,1,2,,1,,1,,4,2,,4967669
